text,label
INSURGENTS MASSACRE 49 ARMY RECRUITS The group linked to insurgent leader Abu Musab al-Zarqawi has claimed responsibility for the massacre of 49 unarmed army recruits in one of the bloodiest attacks on Iraq #39;s fledgling security forces.,Politics
Hospital Care by Video Camera Intensive-care doctors monitor patients from miles away. Also: Vioxx might be responsible for more deaths than thought.... New network in southern India gives government a big boost.... and more.,Business
"Canada #39;s current account surplus shrinks OTTAWA - Canada #39;s current account surplus showed the first drop in almost two years in the third quarter, Statistics Canada said Monday.",Business
"Report: Russian tycoon Roman Abramovich sells final stake in &lt;b&gt;...&lt;/b&gt; Basic Element, the holding company controlled by aluminum baron Oleg Deripaska, is close to acquiring full control of Russia #39;s biggest aluminum maker, Russian Aluminum, the Interfax news agency reported Friday.",Business
"Olympics: Greeks Dive for Joy, More Gold for Thorpe ATHENS (Reuters) - Greece was plunged in national self-satisfaction on Tuesday after its synchronized divers won the host nation's first gold medal of the Athens Olympics.",Sports
"Antitrust Ruling Reverberates (washingtonpost.com) washingtonpost.com - Oracle Corp. was not the only beneficiary of a federal judge's ruling late Thursday that it could proceed with its #36;7.7 billion hostile takeover bid for software rival PeopleSoft Inc. Yesterday, the stock prices of numerous software firms surged during widespread speculation that the antitrust ruling could spark a wave of consolidation in the industry.",Tech
Protests target nuclear shipment Protests continue in France in a bid to stop delivery of weapons-grade plutonium from the US for recycling.,Tech
"BIG HIKE IN ENERGY BILLS The company says the record price of wholesale gas, which also effects the cost of electricity, is to blame. A spokesman said the increases would add an extra 7p a day to electricity bills.",Business
"Security tightened in Madhya Pradesh #39;s Chambal belt Security has been tightened and alert sounded in entire Chambal belt of Madhya Pradesh on Saturday following massacre of 13 villagers by the dreaded Gadaria dacoit gang, while authorities were discussing new strategies to check the gang #39;s activities.",Politics
Nigeria Strike Expected to End Thursday Nigerian labor leaders say they will end a four-day old general strike called to protest rising fuel prices in Africa #39;s largest oil-producing nation.,Politics
"Putin plan for political overhaul easily passes its first vote MOSCOW Russia #39;s lower house of Parliament took its first step on Friday toward adopting President Vladimir Putin #39;s sweeping overhaul of the country #39;s political system, despite signs of popular dissent, particularly in regions distant from the capital.",Politics
"Orlando Magic Team Report - November 10 (Sports Network) - The much-improved Orlando Magic will take aim at their fourth win in five games tonight, when they take on the Washington Wizards at the MCI Center.",Sports
"Weekend warriors in test of technique and temperament THE breeze barely tickled the flags around the first tee, the weather was warming and the air light. The greens were true and gave good grip to approaches.",Sports
Did Intel mock up dual Pentium 4 demo? ANALYST NATHAN BROOKWOOD has raised several questions about a technology announcement Intel made last week on Pentium 4 dual core processors and wonders just what technology was under the hood.,Tech
Taiwan accuses US of betrayal Taiwan accused the United States of a breach of trust after US Secretary of State Colin Powell in Beijing voiced support for cross-straits reunification.,Politics
"UPDATE 2-GE sells India back office unit stake for \$500 mln General Electric Co. (GE.N: Quote, Profile, Research) , the world #39;s top conglomerate, said on Monday it had sold a majority of its pioneering Indian back",Business
"US Newspapers and their Audience USA Today is read by people who think they ought to run the country but dont really understand the Washington Post. They do, however, like their smog statistics shown in pie charts.",Business
