text,label
"Disney's Eisner Sees Iger as Successor LOS ANGELES (Reuters) - Walt Disney Co. Chief Executive Michael Eisner said company President Robert Iger is his ""preferred choice"" to succeed him in running the entertainment conglomerate, according to an interview in Sunday's Los Angeles Times.",Business
"Terrorist fears hang over Australian election (AFP) AFP - A former US presidential adviser has warned Australia is at increased risk of a Spanish-style terrorist attack ahead of the October 9 election, citing the opposition's plan to withdraw troops from Iraq.",Politics
"Early to rise? Not for UConn quot;I think the game played out probably the way I thought it would play out, quot; he said. quot;I can #39;t say that I #39;m really, really that surprised.",Sports
Mahathir #39;frustrated #39; with party corruption Former Prime Minister Mahathir Mohamad said he was utterly frustrated that the Malay party he helped develop into Malaysia #39;s dominant political force had become riddled with corruption and bribery.,Politics
IPod Helps Lift Apple #39;s Fourth-Quarter Profit Apple Computer Inc. reported yesterday that profit in its fourth fiscal quarter jumped 140 percent from the comparable quarter last year.,Tech
"Federer, Hewitt ready for US Open rematch in Houston Houston, TX (Sports Network) - Reigning world No. 1 Roger Federer and former top-ranked star Lleyton Hewitt will meet in a blockbuster quot;Red Group quot; round- robin match Wednesday at the ATP #39;s season-ending Tennis Masters Cup.",Sports
"Anything But Microsoft Retail Store Pushes Linux, Open Source (TechWeb) TechWeb - The Linux and open source software movement has an ambitious retail store, and it is offering a low-cost, lightweight laptop that is devoid of Microsoft software.",Tech
"Soldering plays Spadea next LYON, France -- Robin Soderling made sure none of the top four seeds would reach the semifinals of the Lyon Tennis Grand Prix. Soderling upset the highest seed remaining, No.",Sports
"Devers and Moore Called Up by USA Gail Devers and LaShaunte #39;a Moore will replace Torri Edwards, the USA #39;s suspended world champion, in the Olympic 100 and 200 metres races in Athens.",Sports
"Afghanistan releases Taliban prisoners Hundreds of Pakistanis who have fought alongside the Taliban against US-led forces have been released from an Afghan jail. The 368 prisoners, the last of more than 2500 Pakistanis captured during the overthrow",Politics
"Delta Pilots Vote to Accept 32.5 Percent Pay Cut Pilots at Delta Air Lines overwhelmingly approved a new five-year contract today with \$1 billion in annual concessions sought by the airline, which had threatened to file for bankruptcy if the pilots did not acquiesce.",Business
"God or science? Ninth-grade biology teachers in Dover, Pa., must include #39;intelligent design #39; in their instruction. Observers say it is a sign of what #39;s to come.",Tech
"FireFox better than Internet Explorer A recent study done by WestSideStory, a market research firm, present interesting results that show a continuous market share increase in FireFoxs favor.",Tech
Sony Considers MP3 Support to Silence iPod Fans Consumer electronics giant Sony Corp. said on Thursday it is mulling a major strategic shift to make digital music devices that play MP3 song files.,Tech
"Budget carrier AirAsia plans to order 40 A320 #39;s -report Airbus has beat rival Boeing Co. with an order from Malaysia #39;s budget-airline market, Air-Asia for as much as \$5.2 billion of A320 jetliners, according to a published report.",Business
"Google #39;s Gmail Gets POP Support By adding POP support to its Gmail service, Google is enabling customers to download messages to Microsoft Outlook and other applications.",Tech
Qantas Says British Airways Sold Stake Qantas said Thursday that British Airways has sold its 18.25 percent stake in the Australian carrier at 3.28 Australian dollars (US\$2.,Business
"McNair, Brown Questionable Injuries again kept Tennessee Titans quarterback Steve McNair and running back Chris Brown out of practice Friday, casting doubt on their availability Sunday against the Cincinnati Bengals.",Sports
"For Minaya, Lots of Wheeling, Not Much Dealing Omar Minaya, the Mets' general manager, is prepared to leave the winter meetings without making a deal, with Carlos Delgado and Richie Sexson seemingly slipping away.",Sports
"Boeing Sees EU Agreeing to End Launch Aid WASHINGTON (Reuters) - A top Boeing Co. official said on Friday he was optimistic the European Union would agree to end government aid to develop new aircraft, which has helped its chief rival Airbus grab more than half of the civil aircraft market.",Business
"Gartner optimistic about chip numbers But that optimism isn #39;t matched by Infineon, which said that while the market worldwide remains buoyant, the US is a special case and cautioned that growth might not be as strong as it expected.",Tech
"Euro Reaches New High against Dollar The US dollar fell yesterday against all the major currencies on international exchange markets except the Canada dollar. The Euro climbed to \$1.3074 against US dollar, breaking a new record.",Business
"Chirac criticises interference in Iraq hostages release &lt;b&gt;...&lt;/b&gt; PARIS - French President Jacques Chirac has lashed out at a private initiative to secure the release of two French hostages in Iraq as interference and said he hoped it would not thwart the delicate process, aides said Saturday.",Politics
"Shaq helps Heat to best start in franchise history Shaquille O #39;Neal promised to bring a championship to Miami. And although it #39;s way too early to be thinking about titles, he can #39;t wait to show off his new team to his old Western Conference rivals.",Sports
"Call for bandit death inquiry A leading human rights group in India questions why police had to kill the country's most notorious bandit, Veerappan.",Politics
"Angels stun A #39;s, need one more to clinch In a way, he was the guy who started the whole mess, simply by setting foot on the field. Just following orders, Alfredo Amezaga innocently came on to pinch run Sept.",Sports
"ATA Files for Bankruptcy LOS ANGELES (Reuters) - ATA Holdings Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ATAH.O target=/stocks/quickinfo/fullquote""&gt;ATAH.O&lt;/A&gt;, parent of struggling low-cost carrier ATA Airlines, on Tuesday filed for Chapter 11 bankruptcy protection as falling fares and soaring fuel prices drained it of cash.",Business
"Is Google Bobbing for Apple? Just in case Apple #39;s (Nasdaq: AAPL) computer users were feeling left out, news reports say that Google (Nasdaq: GOOG) intends to develop its Desktop Search application for the Mac platform.",Tech
"Kovalainen surprises at Race of Champions In the off season, it is for most F1 and racing fans, a long time with no racing action. The Race of Champions gives the fans a little breath.",Sports
"140 still trapped in mine in China blast; 25 dead BEIJING - More than 140 miners remained trapped in the tunnels and shafts of a coal mine in central China after an explosion Sunday that killed 25 of their colleagues, the government said.",Politics
Ex-NASA Worker Pleads Innocent of Fake Inspections A fired NASA safety inspector accused of falsifying space shuttle inspection reports pleaded not guilty to 166 criminal charges on Friday and a trial was tentatively set for Dec. 1.,Tech
Tennis: Roddick makes semis Andy Roddick beats Marat Safin in two tie-breaks to reach the Masters Cup semis.,Politics
Ex-Rwandan Officer Pleads Innocent (AP) AP - A former senior Rwandan army officer pleaded innocent Monday before a U.N. tribunal to six counts of genocide and crimes against humanity for his alleged role in the 1994 Rwanda genocide.,Politics
"Stocks to Watch Thursday (Reuters) Reuters - Stocks moving on Thursday: EXXON MOBIL\, ROYAL DUTCH PETROLEUM CO. :",Business
"Astronaut Gordon Cooper Dies Summary - (Oct 5, 2004) Astronaut Gordon Cooper, who piloted missions in both the Mercury and Gemini programs, died on Monday at his home in Ventura, California; he was 77.",Tech
New German Mobile Phone to Detect Bad Breath (Reuters) Reuters - A German telecommunications company said\on Tuesday it is developing the first mobile phone that will\alert users when their breath is bad or if they are giving off\offensive smells.,Tech
"US blue chips fall as oil prices rise, but Apple lifts Nasdaq NEW YORK : US blue chips ended lower on Monday on higher oil prices and an analyst downgrade of pharmaceutical giant Pfizer; but techs managed a small gain, helped by an upgrade for Apple Computer.",Business
Anwar supporters defy police ban to welcome him home to Malaysia KUALA LUMPUR : Hundreds of supporters defied a police ban to welcome former deputy prime minister Anwar Ibrahim at the airport on his arrival home after back surgery in Germany.,Politics
